Namespace(algo='dqn', batch_size=64, checkpoint_freq=20000, discount=0.996, ent_coef=0.01, env='CartPole-v1', eps_decay=4000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.001, niter=10000, nproc=2, parallel_env=0, print_freq=200, replay_size=20000, save_dir='cartpole_dqn/', target_update=1000, train_freq=1, train_start=100, value_coef=0.5)
observation space: Box(4,)
action space: Discrete(2)
running on device cpu
obses on reset: 2 x (4,) float32
iter    200 |loss   0.01 |n_ep    15 |ep_len   21.4 |ep_rew  21.38 |raw_ep_rew  21.38 |env_step    400 |time 00:00 rem 00:11
iter    400 |loss   0.00 |n_ep    29 |ep_len   27.0 |ep_rew  27.01 |raw_ep_rew  27.01 |env_step    800 |time 00:00 rem 00:14
iter    600 |loss   0.00 |n_ep    44 |ep_len   29.3 |ep_rew  29.33 |raw_ep_rew  29.33 |env_step   1200 |time 00:01 rem 00:15
iter    800 |loss   0.00 |n_ep    63 |ep_len   21.6 |ep_rew  21.60 |raw_ep_rew  21.60 |env_step   1600 |time 00:01 rem 00:16
iter   1000 |loss   0.00 |n_ep    86 |ep_len   16.0 |ep_rew  15.95 |raw_ep_rew  15.95 |env_step   2000 |time 00:01 rem 00:16
iter   1200 |loss   0.03 |n_ep   110 |ep_len   17.6 |ep_rew  17.64 |raw_ep_rew  17.64 |env_step   2400 |time 00:02 rem 00:16
iter   1400 |loss   0.05 |n_ep   137 |ep_len   14.7 |ep_rew  14.67 |raw_ep_rew  14.67 |env_step   2800 |time 00:02 rem 00:16
iter   1600 |loss   0.05 |n_ep   165 |ep_len   15.3 |ep_rew  15.29 |raw_ep_rew  15.29 |env_step   3200 |time 00:03 rem 00:16
iter   1800 |loss   0.02 |n_ep   186 |ep_len   16.4 |ep_rew  16.38 |raw_ep_rew  16.38 |env_step   3600 |time 00:03 rem 00:16
iter   2000 |loss   0.04 |n_ep   211 |ep_len   15.5 |ep_rew  15.48 |raw_ep_rew  15.48 |env_step   4000 |time 00:04 rem 00:16
iter   2200 |loss   0.06 |n_ep   241 |ep_len   13.9 |ep_rew  13.92 |raw_ep_rew  13.92 |env_step   4400 |time 00:04 rem 00:16
