Namespace(algo='dqn', batch_size=32, checkpoint_freq=500000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0001, niter=2000000, nproc=2, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 2 x (4, 84, 84) uint8
iter    500 |loss   0.00 |n_ep    29 |ep_len   31.4 |ep_rew  -0.20 |raw_ep_rew   1.07 |env_step   1000 |time 00:07 rem 482:39
iter   1000 |loss   0.00 |n_ep    65 |ep_len   27.0 |ep_rew  -0.34 |raw_ep_rew   0.85 |env_step   2000 |time 00:14 rem 482:29
iter   1500 |loss   0.00 |n_ep    94 |ep_len   37.4 |ep_rew  -0.01 |raw_ep_rew   1.09 |env_step   3000 |time 00:21 rem 483:50
iter   2000 |loss   0.00 |n_ep   129 |ep_len   26.6 |ep_rew  -0.32 |raw_ep_rew   0.87 |env_step   4000 |time 00:29 rem 483:21
iter   2500 |loss   0.00 |n_ep   161 |ep_len   32.2 |ep_rew  -0.18 |raw_ep_rew   1.02 |env_step   5000 |time 00:36 rem 483:32
iter   3000 |loss   0.00 |n_ep   189 |ep_len   38.3 |ep_rew  -0.07 |raw_ep_rew   1.18 |env_step   6000 |time 00:43 rem 483:11
iter   3500 |loss   0.00 |n_ep   216 |ep_len   35.4 |ep_rew  -0.14 |raw_ep_rew   1.23 |env_step   7000 |time 00:50 rem 483:34
iter   4000 |loss   0.00 |n_ep   246 |ep_len   32.2 |ep_rew  -0.12 |raw_ep_rew   1.44 |env_step   8000 |time 00:58 rem 483:38
iter   4500 |loss   0.00 |n_ep   273 |ep_len   38.2 |ep_rew  -0.05 |raw_ep_rew   1.59 |env_step   9000 |time 01:05 rem 483:37
iter   5000 |loss   0.00 |n_ep   306 |ep_len   27.2 |ep_rew  -0.33 |raw_ep_rew   1.23 |env_step  10000 |time 01:12 rem 484:02
iter   5500 |loss   0.03 |n_ep   338 |ep_len   27.5 |ep_rew  -0.30 |raw_ep_rew   1.14 |env_step  11000 |time 01:24 rem 512:19
iter   6000 |loss   0.02 |n_ep   366 |ep_len   36.4 |ep_rew  -0.06 |raw_ep_rew   1.40 |env_step  12000 |time 01:36 rem 536:31
iter   6500 |loss   0.01 |n_ep   400 |ep_len   26.7 |ep_rew  -0.32 |raw_ep_rew   1.21 |env_step  13000 |time 01:48 rem 556:29
iter   7000 |loss   0.00 |n_ep   435 |ep_len   29.3 |ep_rew  -0.25 |raw_ep_rew   0.72 |env_step  14000 |time 02:00 rem 573:45
iter   7500 |loss   0.02 |n_ep   465 |ep_len   32.5 |ep_rew  -0.18 |raw_ep_rew   1.00 |env_step  15000 |time 02:12 rem 588:25
iter   8000 |loss   0.00 |n_ep   497 |ep_len   30.1 |ep_rew  -0.23 |raw_ep_rew   1.06 |env_step  16000 |time 02:24 rem 601:19
iter   8500 |loss   0.01 |n_ep   532 |ep_len   24.9 |ep_rew  -0.40 |raw_ep_rew   0.85 |env_step  17000 |time 02:36 rem 612:42
iter   9000 |loss   0.01 |n_ep   568 |ep_len   26.5 |ep_rew  -0.37 |raw_ep_rew   0.72 |env_step  18000 |time 02:49 rem 623:13
iter   9500 |loss   0.00 |n_ep   604 |ep_len   29.3 |ep_rew  -0.28 |raw_ep_rew   0.57 |env_step  19000 |time 03:01 rem 632:24
iter  10000 |loss   0.03 |n_ep   638 |ep_len   28.3 |ep_rew  -0.24 |raw_ep_rew   0.63 |env_step  20000 |time 03:13 rem 640:42
iter  10500 |loss   0.01 |n_ep   671 |ep_len   28.4 |ep_rew  -0.22 |raw_ep_rew   0.77 |env_step  21000 |time 03:25 rem 647:59
iter  11000 |loss   0.00 |n_ep   707 |ep_len   27.0 |ep_rew  -0.32 |raw_ep_rew   0.64 |env_step  22000 |time 03:37 rem 654:38
iter  11500 |loss   0.01 |n_ep   727 |ep_len   46.8 |ep_rew   0.18 |raw_ep_rew   1.28 |env_step  23000 |time 03:49 rem 660:44
iter  12000 |loss   0.03 |n_ep   761 |ep_len   27.2 |ep_rew  -0.29 |raw_ep_rew   0.96 |env_step  24000 |time 04:01 rem 666:15
iter  12500 |loss   0.00 |n_ep   791 |ep_len   33.7 |ep_rew  -0.15 |raw_ep_rew   1.29 |env_step  25000 |time 04:13 rem 671:15
iter  13000 |loss   0.01 |n_ep   819 |ep_len   36.3 |ep_rew  -0.02 |raw_ep_rew   1.38 |env_step  26000 |time 04:25 rem 675:55
iter  13500 |loss   0.01 |n_ep   851 |ep_len   33.3 |ep_rew  -0.16 |raw_ep_rew   1.26 |env_step  27000 |time 04:37 rem 680:07
iter  14000 |loss   0.01 |n_ep   886 |ep_len   31.8 |ep_rew  -0.24 |raw_ep_rew   0.89 |env_step  28000 |time 04:49 rem 684:12
iter  14500 |loss   0.01 |n_ep   914 |ep_len   33.8 |ep_rew  -0.13 |raw_ep_rew   1.12 |env_step  29000 |time 05:01 rem 687:48
iter  15000 |loss   0.00 |n_ep   945 |ep_len   30.7 |ep_rew  -0.19 |raw_ep_rew   1.15 |env_step  30000 |time 05:13 rem 691:23
iter  15500 |loss   0.01 |n_ep   984 |ep_len   25.9 |ep_rew  -0.33 |raw_ep_rew   0.79 |env_step  31000 |time 05:25 rem 694:39
iter  16000 |loss   0.01 |n_ep  1007 |ep_len   44.9 |ep_rew   0.12 |raw_ep_rew   1.38 |env_step  32000 |time 05:37 rem 697:39
iter  16500 |loss   0.00 |n_ep  1037 |ep_len   35.6 |ep_rew  -0.06 |raw_ep_rew   1.32 |env_step  33000 |time 05:49 rem 700:23
iter  17000 |loss   0.01 |n_ep  1072 |ep_len   33.3 |ep_rew  -0.14 |raw_ep_rew   1.11 |env_step  34000 |time 06:01 rem 703:07
iter  17500 |loss   0.01 |n_ep  1101 |ep_len   29.2 |ep_rew  -0.21 |raw_ep_rew   1.17 |env_step  35000 |time 06:13 rem 705:44
iter  18000 |loss   0.00 |n_ep  1136 |ep_len   27.3 |ep_rew  -0.32 |raw_ep_rew   0.86 |env_step  36000 |time 06:25 rem 708:00
iter  18500 |loss   0.01 |n_ep  1166 |ep_len   28.4 |ep_rew  -0.23 |raw_ep_rew   0.89 |env_step  37000 |time 06:37 rem 710:11
iter  19000 |loss   0.02 |n_ep  1195 |ep_len   35.4 |ep_rew  -0.09 |raw_ep_rew   1.24 |env_step  38000 |time 06:49 rem 712:13
iter  19500 |loss   0.00 |n_ep  1231 |ep_len   27.9 |ep_rew  -0.28 |raw_ep_rew   0.99 |env_step  39000 |time 07:01 rem 714:11
iter  20000 |loss   0.00 |n_ep  1266 |ep_len   28.0 |ep_rew  -0.25 |raw_ep_rew   0.86 |env_step  40000 |time 07:14 rem 716:09
iter  20500 |loss   0.01 |n_ep  1296 |ep_len   31.5 |ep_rew  -0.18 |raw_ep_rew   0.94 |env_step  41000 |time 07:26 rem 717:50
iter  21000 |loss   0.00 |n_ep  1325 |ep_len   32.2 |ep_rew  -0.19 |raw_ep_rew   0.94 |env_step  42000 |time 07:38 rem 719:34
iter  21500 |loss   0.00 |n_ep  1356 |ep_len   29.9 |ep_rew  -0.24 |raw_ep_rew   1.28 |env_step  43000 |time 07:50 rem 721:06
iter  22000 |loss   0.01 |n_ep  1385 |ep_len   33.8 |ep_rew  -0.19 |raw_ep_rew   1.28 |env_step  44000 |time 08:02 rem 722:35
iter  22500 |loss   0.00 |n_ep  1419 |ep_len   27.4 |ep_rew  -0.29 |raw_ep_rew   0.93 |env_step  45000 |time 08:14 rem 724:06
iter  23000 |loss   0.01 |n_ep  1446 |ep_len   53.7 |ep_rew   0.31 |raw_ep_rew   0.82 |env_step  46000 |time 08:26 rem 725:22
iter  23500 |loss   0.00 |n_ep  1478 |ep_len   33.1 |ep_rew  -0.13 |raw_ep_rew   1.38 |env_step  47000 |time 08:38 rem 726:46
iter  24000 |loss   0.00 |n_ep  1512 |ep_len   32.4 |ep_rew  -0.09 |raw_ep_rew   1.05 |env_step  48000 |time 08:50 rem 728:00
iter  24500 |loss   0.01 |n_ep  1544 |ep_len   31.6 |ep_rew  -0.20 |raw_ep_rew   0.95 |env_step  49000 |time 09:02 rem 729:09
iter  25000 |loss   0.01 |n_ep  1581 |ep_len   27.1 |ep_rew  -0.30 |raw_ep_rew   0.93 |env_step  50000 |time 09:14 rem 730:19
iter  25500 |loss   0.00 |n_ep  1609 |ep_len   34.0 |ep_rew  -0.10 |raw_ep_rew   1.00 |env_step  51000 |time 09:26 rem 731:20
iter  26000 |loss   0.00 |n_ep  1639 |ep_len   31.9 |ep_rew  -0.15 |raw_ep_rew   0.95 |env_step  52000 |time 09:38 rem 732:26
iter  26500 |loss   0.03 |n_ep  1670 |ep_len   30.4 |ep_rew  -0.19 |raw_ep_rew   1.50 |env_step  53000 |time 09:50 rem 733:23
iter  27000 |loss   0.00 |n_ep  1705 |ep_len   30.7 |ep_rew  -0.20 |raw_ep_rew   0.86 |env_step  54000 |time 10:02 rem 734:20
iter  27500 |loss   0.00 |n_ep  1735 |ep_len   28.0 |ep_rew  -0.29 |raw_ep_rew   1.08 |env_step  55000 |time 10:14 rem 735:11
iter  28000 |loss   0.00 |n_ep  1766 |ep_len   36.0 |ep_rew  -0.09 |raw_ep_rew   1.16 |env_step  56000 |time 10:27 rem 736:06
iter  28500 |loss   0.00 |n_ep  1798 |ep_len   31.6 |ep_rew  -0.17 |raw_ep_rew   0.99 |env_step  57000 |time 10:39 rem 737:01
iter  29000 |loss   0.00 |n_ep  1832 |ep_len   32.6 |ep_rew  -0.15 |raw_ep_rew   1.13 |env_step  58000 |time 10:51 rem 737:50
iter  29500 |loss   0.00 |n_ep  1863 |ep_len   28.1 |ep_rew  -0.27 |raw_ep_rew   1.10 |env_step  59000 |time 11:03 rem 738:34
